airbnb_id,Detail,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed,Extracted Title,City/State,Country
0,Sky Haus - A-Frame Cabin,306.00,229.00,4.85 (531),4 beds,Chalet in Skykomish,Washington,US
1,The Catskill A-Frame - Mid-Century Modern Cabin,485.00,170.00,4.77 (146),4 beds,Cabin in Hancock,New York,US
2,The Triangle: A-Frame Cabin for your city retreat,119.00,522.00,4.91 (515),4 beds,Cabin in West Farmington,Ohio,US
3,*Summer Sizzle* 5 Min to Blue Ridge* Pets* Hot tub,192.00,348.00,4.94 (88),5 beds,Home in Blue Ridge,Georgia,US
4,Luxury Treehouse Couples Getaway w/ Peaceful Views,232.00,196.00,4.99 (222),1 queen bed,Treehouse in Grandview,Texas,US
5,Casa Tiny near Casa Wabi,261.00,148.00,4.84 (555),1 double bed,Tiny home in Puerto Escondido,,Mexico
6,The Beach House. Oceanfront & Sunrise Views!,607.00,,4.64 (90),2 queen beds,Home in Saco,Maine,US
7,• Cedar Peak • 2 Bedroom Barrier-Free Chalet,381.00,,5.0 (48),2 beds,Chalet in Grand Étang,,Canada
8,"Room in apartment, traditional neighborhood",29.00,,4.84 (58),2 beds,Room in Mexico City,,Mexico
9,Peacock Tiny House near Las Vegas,154.00,,4.92 (744),3 beds,Tiny home in Sandy Valley,Nevada,US
10,Hidden Valley’s Guest Suite - explore nature,207.00,,4.97 (265),2 beds,Guest suite in Huntsville,,Canada
11,Downey Family Cabin. Barrel Sauna Included!,162.00,,4.99 (226),2 king beds,Cabin in Nelson,,Canada
12,Dome in the Desert in Joshua Tree,268.00,,4.94 (944),1 king bed,Dome in Joshua Tree,California,US
13,Private Barn Studio at Pura Vida Florida Farm,111.00,,4.95 (417),2 double beds,Barn in Vero Beach,Florida,US
14,Cozy Tiny House Cabin between Burlington and Stowe,174.00,,4.97 (372),2 queen beds,Tiny home in Bolton,Vermont,US
15,Peace Cabin - private waterfront forest retreat,497.00,,4.99 (69),1 king bed,Cabin in Ucluelet,,Canada
16,14th Homestead Barn Loft,163.00,,4.9 (289),1 king bed,Barn in Essex,,Canada
17,"Lagoon Front Hut: Daily Cleaning, Bikes & Kayaks!",141.00,,4.89 (633),1 king bed,Apartment in Bacalar,,Mexico
18,The Forestry House - A modern luxury treehouse.,282.00,417.00,New,1 bed,Treehouse in Travelers Rest,South Carolina,US
19,Underground Hobbit Hole @ Sustainable Ecovillage,89.00,253.00,4.54 (195),1 bed,Farm stay in Del Norte County,California,US
20,Rainforest Tree House with Hot Springs,132.00,,4.84 (763),3 beds,Treehouse in San Carlos,,Costa Rica
21,Tullihas in the Trees Off-Grid Treehouse,143.00,,4.98 (181),2 beds,Treehouse in Frazeysburg,Ohio,US
22,SECLUDED LAKESIDE CABIN,463.00,,4.99 (172),3 beds,Cabin in Rodney,,Canada
23,Fauria Colonial House (Room 3),29.00,,4.92 (75),1 bed,Room in La Habana,,Cuba
24,Domeland: Off-grid Adobe Dome near Big Bend,136.00,,4.95 (863),5 beds,Dome in Terlingua,Texas,US
25,Lake Sutherland Waterfront Cabin w/ Expansive Dock,688.00,,4.82 (83),1 king bed,Home in Port Angeles,Washington,US
26,Luxury Tree House X Magical Romantic Forest! Pool!,658.00,,4.91 (142),1 king bed,Treehouse in Fredericksburg,Texas,US
27,Scandinavian-Inspired Tiny Home Experience,392.00,,4.98 (95),2 beds,Cottage in Harcourt,,Canada
28,Tiny House Cubo Nube Santa Elena 40 min. Medellin.,67.00,,4.95 (197),1 queen bed,Tiny home in Medellín,,Colombia
29,Chalet Boutique Saltamontes Santa Elena,51.00,,4.94 (232),2 beds,Cabin in Medellín,,Colombia
30,Secluded View! A-Frame Hot Tub and Fire Pit,354.00,,4.95 (20),1 queen bed,Cabin in Bryson City,North Carolina,US
31,★ BubbleSky Glamping ★ One Night Under Stars ★3,107.00,,4.9 (154),2 king beds,Place to stay in Retiro,,Colombia
32,Cozy Oceanview Cabin,102.00,,4.88 (76),1 king bed,Cabin in Bluefields,,Jamaica
33,Hut #1 Romantic Luxury Beachfront,171.00,,4.89 (377),2 beds,Hut in Bavaro,,Dominican Republic
34,Treehouse w/Breathtaking Views+HotTub+Hiking+Falls,286.00,,5.0 (21),1 queen bed,Treehouse in Marion,North Carolina,US
35,“Whimsical Stone Abode” - Boston Magazine,301.00,,5.0 (244),1 queen bed,Dome in Sandgate,Vermont,US
36,Buddha Loft in Romantic Zone of Puerto Vallarta,112.00,146.00,4.85 (175),1 bed,Condo in Puerto Vallarta,,Mexico
37,The G Frame...an offGrid Cabin + woodstove sauna,169.00,"1,089.00",4.96 (395),2 king beds,Cabin in Sanbornton,New Hampshire,US
38,Casa Blanca B&B with beautiful terrace &sea views,43.00,630.00,4.82 (359),2 king beds,Room in La Habana,,Cuba
39,Walk to the Beach from this Ocean Front Home,"1,463.00",225.00,4.94 (149),9 beds,Home in Moss Beach,California,US
40,"Cozy Modern Beach House w/ Pool, Hot Tub & More!",764.00,819.00,4.74 (19),2 queen beds,Cottage in Wheatley,,Canada
41,"Crystal Cabin, Restored Vintage Lodge in Topanga State Park",225.00,,4.94 (209),1 double bed,Cabin in Topanga,California,US
42,Casa Anís,40.00,,4.96 (202),3 beds,Chalet in Cajicá,,Colombia
43,Warm Pine A-frame Nestled In The Trees!,287.00,,4.79 (536),1 double bed,Cabin in Center Conway,New Hampshire,US
44,Hambrook Point Cottage “Homestead”,93.00,,4.87 (360),3 beds,Cottage in Renous,,Canada
45,O’s Barn Cabin,118.00,,4.94 (296),2 double beds,Tiny home in Huntsville,Missouri,US
46,"Artsy ""Glamping"" experience",138.00,,4.91 (278),3 beds,Tiny home in Castleton,,Canada
47,"Seamist Beach Cottage, Private Beach & Ocean views",670.00,,4.7 (256),2 beds,Cottage in Bodega Bay,California,US
48,100+ Year old Rustic Log Cabin near Ghost Lake,135.00,,4.83 (459),1 sofa bed,Cabin in Rocky View County,,Canada
49,The Dragon + Private Island,178.00,,4.87 (61),1 queen bed,Houseboat in Low,,Canada
50,"Private Cottage, enjoy beach, sunsets & fishing.",218.00,,4.89 (314),3 beds,Guesthouse in Key Largo,Florida,US
51,"Malibu, Carbon Beach - Suite Seven",898.00,,4.86 (311),2 queen beds,Condo in Malibu,California,US
52,Waterfront Cottage #1 /Waterfront cottage,144.00,,4.92 (267),2 queen beds,Cottage in Petit-Tracadie,,Canada
53,Harrell’s Cabin,125.00,,4.82 (612),2 queen beds,Cabin in Jarratt,Virginia,US
54,6 Ibuku Big Cabin by Lake Jacuzzi Kayak,220.00,372.00,4.93 (46),7 beds,Cabin in El Peñol,,Colombia
55,The Brite House - Oceanfront Sojourn,305.00,251.00,4.87 (319),3 beds,Guest suite in North Vancouver,,Canada
56,♨ Cedar Coast Lodge - Coastal retreat w/ HOT TUB,480.00,290.00,4.82 (125),5 beds,Home in Shirley,,Canada
57,"LUXURY 5★s ICON BRICKELL CONDO@47TH, GYM/POOL",398.00,265.00,4.89 (605),2 beds,Apartment in Miami,Florida,US
58,Mansion in the Park - garden view queen en suite,148.00,39.00,4.99 (93),3 queen beds,Room in Kansas City,Missouri,US
59,Dome L'Albatros | Private Spa | BBQ Zone,322.00,232.00,4.86 (196),6 beds,Dome in Lac-Supérieur,,Canada
60,The Majesta ! Incredible Sunset !,315.00,78.00,5.0 (11),1 king bed,Chalet in Saint-Damien,,Canada
61,"Heaven Lodge, entire house surrounded by nature",128.00,,4.86 (155),1 king bed,Home in Tulum,,Mexico
62,☆King Bed Apartment☆ Suk-Ha ☆ La Veleta,55.00,,4.6 (73),4 beds,Apartment in Tulum,,Mexico
63,Newly-Constructed Riverfront Chalet,360.00,,4.97 (95),2 beds,Chalet in Durham,,Canada
64,"Yellowstone Luxury Tent; sleeps 3, 1 king +1 futon",224.00,,5.0 (31),2 queen beds,Tent in Island Park,Idaho,US
65,A-Frame Apogee | Hot Tub · Epic Views · Swing Set,227.00,,4.96 (166),1 queen bed,Cabin in Arrowbear Lake,California,US
66,The Nest at Crash Boat. Only waterfront on Beach,363.00,,4.9 (143),3 beds,Home in Borinquen,,Puerto Rico
67,Cozy Riverfront Cottage Retreat with Dock,232.00,,4.84 (55),1 bed,Cottage in Wasaga Beach,,Canada
68,The Ruby -A Rustic Red Ark tiny home,81.00,,4.98 (43),2 beds,Tiny home in Blockhouse,,Canada
69,Romantic lakefront estate with lake view & deck,271.00,,5.0 (311),2 beds,Guesthouse in Peachland,,Canada
70,The Vermont Dream Cabin on 70 Acres,219.00,,4.89 (136),1 king bed,Cabin in Shaftsbury,Vermont,US
71,Jungle Lodge at Nahouse in Tulum,109.00,,None,1 king bed,Cabin in Tulum,,Mexico
72,Cougar Dome at Winderdome Resort!,335.00,223.00,5.0 (16),3 beds,Dome in Windermere,,Canada
73,Cool Clean Condo with Brilliant Oceanfront View,261.00,63.00,4.58 (108),2 beds,Condo in Myrtle Beach,South Carolina,US
74,Beachfront Laguna Beach Magnificent Oceanviews 26,287.00,228.00,4.38 (396),2 queen beds,Hotel room in Laguna Beach,California,US
75,"Su mejor opción en Playa del Carmen, a pasos de la quinta av.",89.00,198.00,4.78 (231),2 beds,Apartment in Playa del Carmen,,Mexico
76,Cozy Cabin #2 - private cabin in the wilderness!,71.00,141.00,4.89 (90),2 beds,Tiny home in Maynooth,,Canada
77,Villa Vista Puerto,138.00,169.00,4.86 (493),2 sofa beds,Guesthouse in Cabo Rojo,,Puerto Rico
78,Split View Two,134.00,,4.95 (81),1 double bed,Tiny home in Canning,,Canada
79,The Sugar Shack a unique cabin in the Rainforest,75.00,,4.92 (447),2 beds,Cottage in Luquillo,,Puerto Rico
80,Noelani-My Perfect Stays Special: Jun 9-16 $189,302.00,,4.82 (71),1 king bed,Condo in Lahaina,Hawaii,US
81,Amazing Hyde One-bedroom apartment on the Beach,248.00,,4.56 (62),2 beds,Condo in Hollywood,Florida,US
82,East hill cabins #1,91.00,,4.82 (334),2 beds,Cabin in Naples,New York,US
83,Sunset Wilderness Camp,34.00,,4.0 (3),1 bed,Campsite in Nemaiah Valley,,Canada
84,Chateau Ridge Chalet w/ Mountain View,154.00,,4.84 (95),4 beds,Loft in The Blue Mountains,,Canada
85,Cozy Blue Mountain Retreat @!@Spring Rates@!@,118.00,,4.72 (365),2 queen beds,Loft in The Blue Mountains,,Canada
86,5 min to Airport with Terrace in a Safe area !,31.00,,4.85 (227),1 queen bed,Room in Mexico City,,Mexico
87,The Cabin at Fernwood Hills,112.00,,4.9 (597),1 king bed,Tiny home in Komoka,,Canada
