car_id,fuelType,rating,renterTripsTaken,reviewCount,owner.id,vehicle.make,vehicle.model,vehicle.type,vehicle.year
0,ELECTRIC,5.0,13,12,12847615,Tesla,Model X,suv,2019
1,ELECTRIC,5.0,2,1,15621242,Tesla,Model X,suv,2018
2,HYBRID,4.92,28,24,10199256,Toyota,Prius,car,2012
3,GASOLINE,5.0,21,20,9365496,Ford,Mustang,car,2018
4,GASOLINE,5.0,3,1,3553565,Chrysler,Sebring,car,2010
5,GASOLINE,5.0,13,12,7815747,Mercedes-Benz,GL-Class,suv,2012
6,GASOLINE,4.42,13,12,3112016,GMC,Yukon XL,suv,2005
7,GASOLINE,4.9,12,10,9536762,Ford,Expedition,suv,2018
8,GASOLINE,5.0,1,1,14893743,Ford,Focus RS,car,2016
9,GASOLINE,4.76,22,17,11389136,Ford,EcoSport,suv,2018
10,GASOLINE,4.95,23,22,9365496,Ford,F-150,truck,2012
11,HYBRID,4.7,11,10,10199256,Toyota,Prius,car,2012
12,GASOLINE,5.0,11,7,9346980,Volkswagen,Tiguan,suv,2018
13,HYBRID,4.92,51,38,3070318,Toyota,Avalon Hybrid,car,2013
14,GASOLINE,4.88,61,56,3092621,Saab,3-Sep,car,2011
15,GASOLINE,4.5,2,2,14428787,Ram,CV Tradesman,minivan,2014
16,GASOLINE,,0,0,1889102,Jeep,Cherokee,suv,2018
17,GASOLINE,5.0,23,20,3092621,Porsche,Cayman,car,2007
18,GASOLINE,4.67,5,3,4112693,Jeep,Wrangler JK,suv,2018
19,GASOLINE,5.0,24,19,1603416,Ford,Mustang,car,2019
20,GASOLINE,4.5,4,2,8860306,Ford,Explorer,suv,2012
21,GASOLINE,4.92,70,52,911080,Nissan,Rogue,suv,2016
22,ELECTRIC,5.0,3,1,1269071,Tesla,Model S,car,2015
23,GASOLINE,4.72,20,18,6744409,Dodge,Charger,car,2014
24,GASOLINE,4.85,61,46,1603416,Volkswagen,Jetta,car,2019
25,GASOLINE,4.82,18,11,6744409,Hyundai,Sonata,car,2016
26,GASOLINE,4.8,63,54,293620,Chevrolet,Impala,car,2010
27,GASOLINE,5.0,21,19,2565503,Hyundai,Accent,car,2015
28,GASOLINE,5.0,21,20,2565503,Ford,Focus,car,2010
29,GASOLINE,,0,0,14680097,GMC,Yukon XL,suv,2018
30,GASOLINE,5.0,3,3,7697716,Toyota,Sequoia,suv,2016
31,GASOLINE,5.0,21,19,11515981,Mercedes-Benz,GLC-Class,suv,2016
32,,5.0,9,8,11515981,Ford,Fiesta,car,2019
33,GASOLINE,5.0,9,8,14931796,Dodge,Journey,suv,2019
34,HYBRID,5.0,5,3,9709583,Lexus,ES 300h,car,2015
35,GASOLINE,5.0,1,1,15162374,Cadillac,ATS,car,2015
36,GASOLINE,4.5,3,2,2842845,Lexus,IS 350,car,2015
37,GASOLINE,4.58,27,19,7697843,smart,fortwo,car,2010
38,GASOLINE,5.0,52,44,6025007,Land Rover,Range Rover,suv,2016
39,ELECTRIC,4.83,8,6,53029,Tesla,Model 3,car,2020
40,GASOLINE,4.94,34,33,7868475,Porsche,718 Boxster,car,2017
41,GASOLINE,5.0,12,10,1295660,Mercedes-Benz,S-Class,car,2015
42,GASOLINE,5.0,2,2,12796797,BMW,7 Series,car,2018
43,GASOLINE,4.93,18,14,53029,Mercedes-benz,C-Class,car,2019
44,GASOLINE,,0,0,14752326,BMW,4 Series,car,2018
45,GASOLINE,4.89,94,80,511103,Porsche,Panamera,car,2011
46,GASOLINE,4.85,134,110,53029,Mercedes-Benz,GLA-Class,suv,2017
47,GASOLINE,4.87,40,30,7697843,Volkswagen,Jetta,car,2016
48,GASOLINE,4.89,40,35,11311856,Acura,MDX,suv,2014
49,ELECTRIC,5.0,15,11,2253859,Tesla,Model 3,car,2018
50,GASOLINE,4.96,152,140,511103,Chevrolet,Corvette Stingray,car,2014
51,GASOLINE,4.97,37,35,7982582,Audi,A8,car,2015
52,GASOLINE,4.99,81,73,6025007,Nissan,Altima,car,2018
53,GASOLINE,4.96,60,51,6025007,Audi,A7,car,2017
54,GASOLINE,5.0,23,21,8752492,Audi,RS 7,car,2014
55,GASOLINE,5.0,41,36,7952644,Dodge,Grand Caravan,minivan,2015
56,GASOLINE,5.0,29,27,8752492,Jaguar,XJ,car,2016
57,ELECTRIC,4.88,18,16,8609349,Tesla,Model S,car,2018
58,GASOLINE,4.95,42,40,3983888,Mercedes-Benz,C-Class,car,2015
59,GASOLINE,5.0,42,38,511103,Chevrolet,Corvette,car,2017
60,GASOLINE,4.83,9,6,499566,Mercedes-Benz,S-Class,car,2016
61,GASOLINE,4.92,40,38,5878338,Chevrolet,Camaro,car,2017
62,GASOLINE,4.88,88,74,499566,Land Rover,Range Rover Sport,suv,2014
63,GASOLINE,5.0,1,1,10872556,Maserati,Quattroporte,car,2016
64,GASOLINE,4.84,38,32,3983888,INFINITI,Q50,car,2018
65,GASOLINE,4.92,76,71,10413163,Chevrolet,Corvette,car,2015
66,GASOLINE,5.0,5,5,11258220,Porsche,Boxster,car,2014
67,ELECTRIC,4.85,35,27,1661563,Tesla,Model 3,car,2019
68,DIESEL,4.97,32,29,7868475,Porsche,Cayenne,suv,2014
69,GASOLINE,4.98,72,59,511103,Ford,Mustang,car,2019
70,GASOLINE,5.0,17,11,8752492,Land Rover,Range Rover Sport,suv,2016
