flight_id,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Price Category Code,Terminal,Boarding Area
0,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Low Fare,Terminal 1,B
3,Air Canada ,AC,Air Canada ,AC,International,Canada,Other,Terminal 1,B
5,Air China,CA,Air China,CA,International,Asia,Other,International,G
7,Air France,AF,Air France,AF,International,Europe,Other,International,A
9,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Other,International,G
11,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Low Fare,International,A
13,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Other,International,A
16,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Other,International,A
18,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Other,International,A
21,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Other,International,G
23,American Airlines,AA,American Airlines,AA,Domestic,US,Other,Terminal 3,E
25,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Other,Terminal 3,E
27,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Other,International,A
29,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C
31,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Other,International,A
33,British Airways,BA,British Airways,BA,International,Europe,Other,International,A
35,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Other,International,A
37,China Airlines,CI,China Airlines,CI,International,Asia,Other,International,A
39,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C
41,EVA Airways,BR,EVA Airways,BR,International,Asia,Other,International,G
43,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Low Fare,Terminal 1,B
45,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Other,Terminal 1,C
47,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Other,Terminal 1,B
49,Icelandair,FI,Icelandair,FI,International,Europe,Other,International,A
51,Independence Air,DH,Independence Air,DH,Domestic,US,Low Fare,International,A
53,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Other,International,A
55,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Other,International,A
57,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Other,International,A
59,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Other,International,G
61,Mesa Airlines,YV,US Airways,US ,Domestic,US,Other,Terminal 1,B
63,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Other,International,G
65,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Other,Terminal 1,A
67,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Other,Terminal 1,C
69,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Other,International,A
71,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Other,International,A
73,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Other,International,G
75,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C
77,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,F
79,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,Terminal 3,F
81,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Low Fare,Terminal 1,B
83,TACA,TA,TACA,TA,International,Central America,Other,International,G
85,US Airways,US ,US Airways,US ,Domestic,US,Other,Terminal 1,A
87,US Airways,US ,US Airways,US ,Domestic,US,Low Fare,Terminal 1,B
89,United Airlines,UA,United Airlines,UA,Domestic,US,Other,Terminal 1,B
91,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Low Fare,Terminal 3,E
93,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,F
96,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Other,International,G
99,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Other,International,G
102,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,Terminal 3,F
105,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Other,International,G
108,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Other,International,G
111,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Other,International,A
113,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Other,International,A
148,Boeing Company,,Boeing Company,,Domestic,US,Other,Other,Other
208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,E
271,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Low Fare,Terminal 1,C
416,Miami Air International,GL,Miami Air International,GL,International,Canada,Other,International,A
473,ATA Airlines,TZ,ATA Airlines,TZ,International,Canada,Low Fare,International,A
590,Air Canada Jazz,QK,Air Canada ,AC,International,Canada,Other,Terminal 1,B
647,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Other,Terminal 1,B
668,US Airways,US ,US Airways,US ,Domestic,US,Other,Terminal 1,B
988,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Other,International,A
1139,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Low Fare,Terminal 3,E
1163,Ameriflight,A8,Ameriflight,A8,Domestic,US,Other,Other,Other
1214,Spirit Airlines,NK,Spirit Airlines,NK,Domestic,US,Low Fare,International,A
1291,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Low Fare,Terminal 1,C
1363,Air Canada ,AC,Air Canada ,AC,International,Canada,Other,Terminal 3,E
1365,Air Canada Jazz,QK,Air Canada ,AC,International,Canada,Other,Terminal 3,E
1373,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Low Fare,Terminal 1,B
1375,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Other,Terminal 1,B
1378,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Other,Terminal 1,B
1421,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Other,Terminal 3,E
1443,TACA,TA,TACA,TA,International,Central America,Other,International,A
1451,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,International,G
